CoC_Number,Year,B01003_001E,B17001_002E,B25002_001E,B25002_003E,B25003_003E,B25003_001E,B25106_001E,B23025_003E,B23025_005E,B25064_001E,B19013_001E,Unemployment_Rate,Vacancy_Rate,Renter_Household_Rate,Cost_Burdened_Rate,Poverty_Rate,Overall Homeless,Overall Homeless Individuals,Overall Homeless People in Families,Unsheltered Homeless,Sheltered Total Homeless,...1,"Total Year-Round Beds (ES, TH, SH)",Total Year-Round Beds (ES),Total Year-Round Beds (TH),Total Year-Round Beds (SH),"Total Beds for Households with Children (ES, TH, SH)","Total Beds for Households without Children (ES, TH, SH)",Total Beds for Households with Children (ES),Total Beds for Households without Children (ES),Total Beds for Households with Children (TH),Total Beds for Households without Children (TH),Total Beds for Households with Children (SH),Total Beds for Households without Children (SH),Total Year-Round Beds (RRH),Total Beds for Households with Children (RRH),Total Beds for Households without Children (RRH),Total Year-Round PSH Beds,Total Beds for Households with Children (PSH),Total Beds for Households without Children (PSH)
MI-504,2013,1059757,117773,472203,40268,134458,431935,62142,568627,59873,306015,19458685,10.529398006074281,8.527688303547414,31.129220831838122,46.21666245221556,11.11320802787809,698,477,221,88,610,4176,NA,100,332,NA,NA,NA,59,32,175,156,NA,NA,14,7,7,570,252,318
MI-504,2014,1072776,120520,474871,37892,138315,436979,61858,575706,54281,313668,19976204,9.428597235394456,7.979430203149908,31.652550809077784,44.722553591439826,11.234404945673655,457,287,170,75,382,3758,250,94,156,0,184,56,57,28,127,28,0,0,18,0,18,543,260,283
MI-504,2015,1136957,118687,497305,36900,143661,460405,62828,607318,46831,351493,22089943,7.711116746086893,7.419993766400901,31.20317980908113,43.73351153061722,10.439005169060923,485,315,170,96,389,3349,301,154,147,0,183,110,57,91,126,19,0,0,34,26,8,624,364,260
MI-504,2016,1095862,110320,482036,34303,144986,447733,61594,588396,37690,342041,21670362,6.405550003738979,7.116273473350539,32.38224566873561,42.4827224697557,10.066960985963561,438,272,166,76,362,2942,295,162,133,0,170,117,55,101,115,16,0,0,36,31,5,585,303,282
MI-504,2017,1122956,106851,491221,34222,144014,456999,59927,603012,33185,361708,23238921,5.503207233023555,6.966721699601605,31.512979240654794,41.61192661824545,9.5151546454179865,412,281,131,47,365,2537,269,162,107,0,144,113,56,96,88,17,0,0,87,63,24,729,347,382
MI-504,2018,1119036,100089,487990,34485,142144,453505,58138,602930,29633,369392,23978228,4.914832567628083,7.0667431709666175,31.343425100054024,40.900776677172445,8.944216271862567,427,293,134,71,356,2138,261,165,96,0,134,116,57,98,77,18,0,0,343,276,67,680,348,332
MI-504,2019,1124134,95983,491506,33361,142376,458145,57951,608405,27185,381821,25110985,4.46824072780467,6.787506154553556,31.076624212858373,40.70278698657077,8.538394888865563,425,247,178,43,382,1739,292,172,120,0,158,121,60,102,98,19,0,0,102,78,24,662,327,335
MI-504,2020,1064378,88787,470988,30347,139533,440641,56778,577814,27617,376491,24605851,4.779565742609213,6.443263947276788,31.66591397532231,40.691449334566016,8.341679365789222,459,311,148,124,335,1344,285,170,115,0,155,118,60,100,95,18,0,0,254,222,32,665,319,346
MI-504,2021,1064210,87259,473444,29081,139143,444363,56351,580771,29281,387923,25102325,5.041746230441947,6.142437120335246,31.312913091323985,40.498623718045465,8.199415528889975,333,147,186,0,333,952,235,148,87,0,100,126,33,107,67,19,0,0,147,114,33,698,342,356
MI-504,2022,1011041,84719,452626,27202,133464,425424,54286,554459,27884,390043,25456901,5.029046331649409,6.009818260550653,31.37199593816992,40.674638853923156,8.379383229760219,320,159,161,32,288,563,278,181,97,0,123,145,56,120,67,25,0,0,126,73,53,643,300,343
MI-504,2023,1011041,84719,452626,27202,133464,425424,54286,554459,27884,390043,25456901,5.029046331649409,6.009818260550653,31.37199593816992,40.674638853923156,8.379383229760219,386,173,213,44,342,176,344,248,96,0,235,97,163,78,72,19,0,0,181,141,40,625,286,339
MI-505,2007,417655,76265,187602,24151,47364,163451,24666,186938,28818,85716,5176414,15.415806310113513,12.873530132941013,28.97749172534888,52.07752723587535,18.260286600184365,354,257,97,141,213,6814,NA,191,78,NA,NA,NA,72,119,20,58,NA,NA,NA,NA,NA,247,140,107
MI-505,2008,417655,76265,187602,24151,47364,163451,24666,186938,28818,85716,5176414,15.415806310113513,12.873530132941013,28.97749172534888,52.07752723587535,18.260286600184365,245,129,116,18,227,6362,NA,198,39,NA,NA,NA,81,117,13,26,NA,NA,NA,NA,NA,299,178,121
MI-505,2009,417655,76265,187602,24151,47364,163451,24666,186938,28818,85716,5176414,15.415806310113513,12.873530132941013,28.97749172534888,52.07752723587535,18.260286600184365,275,154,121,82,193,5912,NA,198,54,NA,NA,NA,85,113,17,37,NA,NA,NA,NA,NA,526,304,222
MI-505,2010,417655,76265,187602,24151,47364,163451,24666,186938,28818,85716,5176414,15.415806310113513,12.873530132941013,28.97749172534888,52.07752723587535,18.260286600184365,277,183,94,78,199,5466,NA,197,54,NA,NA,NA,84,113,17,37,NA,NA,NA,NA,NA,745,575,170
MI-505,2011,402760,77213,182389,25620,47232,156769,25060,181745,28122,86856,5009459,15.473328014525848,14.046899758209102,30.128405488329964,53.05724932249323,19.170970304896215,490,352,138,161,329,5028,NA,258,109,NA,NA,NA,102,156,65,44,NA,NA,NA,NA,NA,727,484,243
MI-505,2012,411301,82214,186826,25713,48425,161113,26158,186035,29971,92654,5190786,16.11040933157739,13.763073662124114,30.056544164654618,54.01755291688177,19.98876735043192,435,269,166,146,289,4598,NA,211,112,NA,NA,NA,102,109,65,47,NA,NA,NA,NA,NA,681,467,214
MI-505,2013,421575,87532,191568,25899,49207,165669,26789,188990,30791,98633,5469218,16.29239642309117,13.519481332999247,29.7019961489476,54.44144125835755,20.76309079048805,387,241,146,117,270,4177,NA,215,118,NA,NA,NA,85,124,65,53,NA,NA,0,0,0,681,467,214
MI-505,2014,415703,87481,190420,25387,50726,165033,27454,185622,28861,98378,5355098,15.548264753100389,13.332107971851695,30.736882926445013,54.122146433781495,21.04411081950335,635,472,163,347,288,3759,321,188,133,0,113,200,68,113,45,87,0,0,0,0,0,681,467,214
MI-505,2015,407229,84356,187881,25910,50091,161971,25965,182373,24185,96264,5370912,13.261283194332494,13.790644077900374,30.92590648943329,51.835659100437205,20.71463476324132,488,338,150,180,308,3350,364,231,133,0,172,181,90,131,82,50,0,0,0,0,0,291,155,136
MI-505,2016,404375,84443,187567,24603,50628,162964,25598,181912,22016,95170,5395809,12.102555081577906,13.116912889794047,31.06698411919197,50.56095441257802,20.882349304482226,377,224,153,87,290,2943,312,229,83,0,150,152,100,119,50,33,0,0,3,3,0,366,234,132
MI-505,2017,391946,80406,184840,24773,49297,160067,24999,177812,19855,93973,5376412,11.16628798956201,13.40240207747241,30.797728451211054,50.71099661236992,20.514560679277245,420,255,165,125,295,2538,306,239,67,0,157,139,121,108,36,31,0,0,111,102,9,410,243,167
MI-505,2018,388508,79017,183700,23783,50632,159917,24794,177895,17991,93465,5482097,10.113269063211446,12.946652150244963,31.66142436388877,48.96903144256597,20.33857732659302,438,285,153,100,338,2139,308,269,39,0,156,142,149,110,7,32,0,0,87,85,2,362,237,125
MI-505,2019,380931,74798,181597,23986,49642,157611,23486,176853,17218,95546,5700160,9.73576925469175,13.208367979647239,31.49653260241988,47.31074493372547,19.63557704676175,450,288,162,48,402,1740,367,323,44,0,226,131,218,95,8,36,0,0,88,68,20,2052,1564,488
MI-505,2020,356485,69301,171546,21592,47340,149954,22741,162364,15774,96713,5739813,9.715207804685768,12.586711435999673,31.569681368953145,48.03760033798057,19.440088643280923,349,242,107,73,276,1345,323,263,60,0,182,131,158,95,24,36,0,0,148,63,85,276,181,95
MI-505,2021,350849,63431,162017,18780,45428,143237,21827,160536,15074,100512,6043132,9.38979418946529,11.591376213607214,31.71526909946452,48.04745971647442,18.079287670764348,336,231,105,47,289,953,356,269,87,0,174,172,158,101,16,71,0,0,199,124,75,312,224,88
MI-505,2022,349834,59542,161744,17180,46192,144564,22040,163103,14712,106375,6328540,9.020067074180119,10.621723216935404,31.95262997703439,47.713889851056464,17.020072377184608,360,274,86,14,346,564,341,249,92,0,150,183,134,107,16,76,0,0,103,62,41,287,199,88
MI-505,2023,349834,59542,161744,17180,46192,144564,22040,163103,14712,106375,6328540,9.020067074180119,10.621723216935404,31.95262997703439,47.713889851056464,17.020072377184608,396,304,92,13,383,177,359,271,88,0,161,187,145,118,16,69,0,0,97,59,38,295,197,98
MI-506,2007,559403,80868,230965,18457,62868,212508,30717,297697,29920,91117,5927525,10.050487576294017,7.991254086116944,29.583827432379017,48.859515174651655,14.456125548128988,912,462,450,105,807,6815,NA,342,524,NA,NA,NA,125,217,351,173,NA,NA,NA,NA,NA,620,221,399
MI-506,2008,559403,80868,230965,18457,62868,212508,30717,297697,29920,91117,5927525,10.050487576294017,7.991254086116944,29.583827432379017,48.859515174651655,14.456125548128988,794,407,387,42,752,6363,NA,334,524,NA,NA,NA,121,213,351,173,NA,NA,NA,NA,NA,565,187,378
MI-506,2009,559403,80868,230965,18457,62868,212508,30717,297697,29920,91117,5927525,10.050487576294017,7.991254086116944,29.583827432379017,48.859515174651655,14.456125548128988,868,390,478,34,834,5913,NA,334,562,NA,NA,NA,119,215,389,173,NA,NA,NA,NA,NA,592,185,407
MI-506,2010,559403,80868,230965,18457,62868,212508,30717,297697,29920,91117,5927525,10.050487576294017,7.991254086116944,29.583827432379017,48.859515174651655,14.456125548128988,585,228,357,10,575,5467,NA,300,375,NA,NA,NA,100,200,371,4,NA,NA,NA,NA,NA,608,185,423
MI-506,2011,579157,84260,237534,18743,63512,218791,31391,306278,30181,96674,6260051,9.85411946009834,7.890659863430077,29.02861635076397,49.425305454087415,14.548732036390824,627,269,358,16,611,5029,NA,337,422,NA,NA,NA,112,225,371,51,NA,NA,NA,NA,NA,645,203,442
MI-506,2012,597267,92068,243883,18578,67476,225305,33052,315622,31836,102043,6482779,10.086749339399661,7.617587121693599,29.94873615765296,48.98334222538384,15.414881451679067,712,251,461,30,682,4599,NA,315,467,NA,NA,NA,112,203,431,36,NA,NA,NA,NA,NA,645,203,442
MI-506,2013,598193,92550,242665,17281,68394,225384,32700,316796,32307,103851,6448186,10.198045429866538,7.121340119094224,30.34554360557981,47.81121150978156,15.471595287808452,732,272,460,44,688,4178,NA,315,467,NA,NA,NA,100,203,431,36,NA,NA,0,0,0,645,203,442
MI-506,2014,588212,93019,237786,16472,70756,221314,33744,311079,28176,103066,6301709,9.057506292613773,6.927237095539687,31.970864924948263,47.6906552094522,15.813856228706658,793,424,369,33,760,3760,809,275,534,0,503,288,82,175,421,113,0,0,61,56,5,865,250,615
MI-506,2015,579398,91430,232518,14667,71726,217851,33978,309597,24364,99327,6167059,7.869585299599156,6.307898743323098,32.92433819445401,47.37194322839696,15.78017183352376,912,473,439,26,886,3351,879,357,522,0,431,430,99,243,332,187,0,0,206,161,45,860,304,556
MI-506,2016,589236,89564,234570,14183,71669,220387,33290,314299,20280,102569,6597870,6.452454509877537,6.0463827428912476,32.51961322582548,46.44965047649611,15.200021723044758,800,527,273,41,759,2944,846,618,228,0,349,480,177,426,172,54,0,0,236,207,29,981,328,653
MI-506,2017,600815,81115,238789,14057,71179,224732,32630,322237,17597,107925,6990727,5.460887483436105,5.886787079806859,31.6728369791574,45.84217255089282,13.50082804190974,912,614,298,61,851,2539,794,588,206,0,286,486,175,398,111,88,0,0,274,244,30,890,284,606
MI-506,2018,585737,75267,232152,13482,69224,218670,31081,315965,15667,105510,6982587,4.958460588989286,5.807402046934767,31.656834499474094,44.899167918640934,12.84996508671981,723,449,274,48,675,2140,830,624,206,0,351,467,240,379,111,88,0,0,414,377,37,855,304,551
MI-506,2019,579540,70387,230393,12555,68721,217838,31079,315089,14434,106640,7034988,4.580927928299623,5.449384312891451,31.54683755818544,45.22489486474295,12.145322152051627,759,435,324,16,743,1741,879,657,222,0,384,484,261,388,123,96,0,0,276,251,25,826,301,525
MI-506,2020,514942,64527,205661,11407,63550,194254,29407,277739,13077,115319,7463254,4.70837728946961,5.546506143605253,32.71489904969782,46.27380015735641,12.530925813004181,923,567,356,86,837,1346,1072,800,272,0,445,612,281,504,164,108,0,0,398,331,67,1039,430,609
MI-506,2021,505724,59874,206479,11721,63350,194758,29583,274374,13739,118990,7550680,5.007398660222908,5.676606337690516,32.527547007054906,46.697711128650354,11.839264104531326,894,469,425,69,825,954,1074,836,238,0,464,603,332,497,132,106,0,0,226,197,29,1083,417,666
MI-506,2022,532921,63191,219565,11490,69619,208075,32785,293108,13589,136480,8508686,4.636175061751982,5.233074488192563,33.4586086747567,47.09202947471237,11.857479814081263,1044,656,388,51,993,565,1135,911,224,0,454,674,308,596,146,78,0,0,383,339,44,1076,339,737
MI-506,2023,532921,63191,219565,11490,69619,208075,32785,293108,13589,136480,8508686,4.636175061751982,5.233074488192563,33.4586086747567,47.09202947471237,11.857479814081263,1239,738,501,113,1126,178,1149,932,217,0,557,585,405,520,152,65,0,0,290,252,38,1076,339,737
MI-507,2007,247246,44067,109233,9777,34644,99456,18719,132130,15147,38550,2593267,11.463709982592901,8.950591854110021,34.83349420849421,54.03244429049763,17.82313970701245,614,288,326,21,593,6816,NA,361,263,NA,NA,NA,161,200,193,70,NA,NA,NA,NA,NA,474,264,210
MI-507,2008,247246,44067,109233,9777,34644,99456,18719,132130,15147,38550,2593267,11.463709982592901,8.950591854110021,34.83349420849421,54.03244429049763,17.82313970701245,862,276,586,79,783,6364,NA,437,375,NA,NA,NA,161,276,176,199,NA,NA,NA,NA,NA,774,585,189
MI-507,2009,247246,44067,109233,9777,34644,99456,18719,132130,15147,38550,2593267,11.463709982592901,8.950591854110021,34.83349420849421,54.03244429049763,17.82313970701245,985,426,559,14,971,5914,NA,441,437,NA,NA,NA,178,263,379,58,NA,NA,NA,NA,NA,654,326,328
MI-507,2010,247246,44067,109233,9777,34644,99456,18719,132130,15147,38550,2593267,11.463709982592901,8.950591854110021,34.83349420849421,54.03244429049763,17.82313970701245,679,295,384,42,637,5468,NA,440,322,NA,NA,NA,165,275,258,64,NA,NA,NA,NA,NA,645,311,334
MI-507,2011,248810,44656,109715,10112,34595,99603,18861,132130,15147,40524,2649595,11.463709982592901,9.216606662717039,34.73288957159925,54.51943922532158,17.947831678791047,822,343,479,54,768,5030,NA,449,420,NA,NA,NA,179,270,361,59,NA,NA,NA,NA,NA,628,394,234
MI-507,2012,250704,45856,109871,10151,34719,99720,18705,132760,15411,41541,2655450,11.608165109972884,9.239016664998042,34.816486161251504,53.87539963708632,18.290892845746377,729,265,464,21,708,4600,NA,455,400,NA,NA,NA,165,277,351,44,NA,NA,NA,NA,NA,346,305,41
MI-507,2013,252763,46696,109911,9839,35314,100072,19028,133293,15712,42348,2672354,11.787565738635937,8.951788265050814,35.2885922136062,53.88231296369712,18.47422288863481,642,327,315,31,611,4179,NA,449,222,NA,NA,NA,159,277,161,56,NA,NA,0,0,0,456,293,163
MI-507,2014,254870,46996,110113,10071,35895,100042,18837,133545,13779,43367,2720805,10.317870380770527,9.146059048432065,35.879930429219726,52.478061011282904,18.43920430023149,681,370,311,10,671,3761,582,377,205,0,328,241,162,202,166,39,0,0,0,0,0,521,354,167
MI-507,2015,256752,45473,110196,9855,36039,100341,17792,135142,12333,43067,2773023,9.12595640141481,8.943155831427637,35.916524650940296,49.3687394211826,17.710864959182402,568,217,351,8,560,3352,619,387,232,0,356,250,172,202,184,48,0,0,0,0,0,546,352,194
MI-507,2016,250592,42794,107583,9005,36321,98578,17642,132707,9747,42169,2740639,7.344751972390304,8.370281550059024,36.84493497534947,48.572451199030866,17.077161282084024,374,162,212,8,366,2945,490,387,103,0,240,237,172,202,68,35,0,0,11,3,8,467,275,192
MI-507,2017,249484,40755,107277,8804,36659,98473,16936,132740,8764,42628,2811012,6.602380593641706,8.206791763378916,37.2274633655926,46.19875064786274,16.335716919722305,479,244,235,28,451,2540,601,530,71,0,300,288,244,273,56,15,0,0,118,116,2,481,326,155
MI-507,2018,253526,39877,108378,8663,36683,99715,16550,135813,8232,44357,3011973,6.061275430187096,7.9933196774253075,36.78784535927393,45.116266390426084,15.728958765570395,567,343,224,53,514,2141,629,555,74,0,300,316,244,298,56,18,0,0,89,78,11,469,299,170
MI-507,2019,258612,37239,110484,8663,36721,101821,16266,139159,7600,45773,3198533,5.461378710683463,7.84095434633069,36.06426964967934,44.2961792979494,14.399563825344533,702,440,262,173,529,1742,678,618,60,0,274,391,230,375,44,16,0,0,60,48,12,439,271,168
MI-507,2020,240292,35586,104867,8074,35644,96793,16374,128790,8369,51513,3572096,6.498175324171131,7.69927622607684,36.82497701280052,45.93760520704747,14.809481797146804,639,372,267,143,496,1347,713,661,52,0,250,454,206,446,44,8,0,0,86,76,10,462,305,157
MI-507,2021,233177,33863,102946,8063,36333,94883,16305,126217,8948,53550,3605420,7.089377817568157,7.832261574029102,38.292423300275075,44.8765585005367,14.522444323410971,342,173,169,0,342,955,508,436,72,0,197,298,146,277,51,21,0,0,43,32,11,450,264,186
MI-507,2022,235583,31781,103783,8050,35626,95733,17014,127602,8770,59517,4021262,6.872933026128117,7.756568994922097,37.213917875758625,47.75725593667546,13.490362207799375,488,345,143,124,364,566,686,616,70,0,275,398,231,372,44,26,0,0,127,76,51,403,256,147
MI-507,2023,235583,31781,103783,8050,35626,95733,17014,127602,8770,59517,4021262,6.872933026128117,7.756568994922097,37.213917875758625,47.75725593667546,13.490362207799375,635,443,192,163,472,179,618,537,81,0,225,380,160,364,65,16,0,0,73,35,38,406,235,171
MI-508,2007,259876,52949,120095,12834,42128,107261,21758,140593,13825,54409,3240492,9.83334874424758,10.686539822640409,39.27615815627302,51.6473604253703,20.374717172805493,408,205,203,17,391,6817,NA,252,117,NA,NA,NA,56,196,86,31,NA,NA,NA,NA,NA,192,32,160
MI-508,2008,259876,52949,120095,12834,42128,107261,21758,140593,13825,54409,3240492,9.83334874424758,10.686539822640409,39.27615815627302,51.6473604253703,20.374717172805493,408,205,203,17,391,6365,NA,286,181,NA,NA,NA,130,156,122,59,NA,NA,NA,NA,NA,135,16,119
MI-508,2009,259876,52949,120095,12834,42128,107261,21758,140593,13825,54409,3240492,9.83334874424758,10.686539822640409,39.27615815627302,51.6473604253703,20.374717172805493,416,225,191,20,396,5915,NA,287,208,NA,NA,NA,138,149,121,87,NA,NA,NA,NA,NA,175,19,156
MI-508,2010,259876,52949,120095,12834,42128,107261,21758,140593,13825,54409,3240492,9.83334874424758,10.686539822640409,39.27615815627302,51.6473604253703,20.374717172805493,535,389,146,143,392,5469,NA,262,200,NA,NA,NA,98,164,103,97,NA,NA,NA,NA,NA,190,32,158
MI-508,2011,266684,55306,122930,13619,43672,109311,23506,143932,14076,57430,3380067,9.779618153016703,11.078662653542667,39.95206337879994,53.82396043231361,20.738402003869748,444,347,97,70,374,5031,NA,276,108,NA,NA,NA,61,215,26,82,NA,NA,NA,NA,NA,262,61,201
MI-508,2012,271196,58573,124312,13358,44686,110954,24157,145291,14817,59128,3447479,10.198154049459362,10.745543471265847,40.27434792797015,54.059436960121744,21.598032419357217,470,334,136,70,400,4601,NA,332,118,NA,NA,NA,89,239,41,72,NA,NA,NA,NA,NA,257,62,195
MI-508,2013,272111,60221,124390,12998,45747,111392,25316,145075,15792,60815,3430095,10.8854041013269,10.449393038025564,41.068478885377765,55.339147922268126,22.13104211149127,423,326,97,66,357,4180,NA,348,80,NA,NA,NA,89,255,16,59,NA,NA,0,0,0,368,133,235
MI-508,2014,273936,61861,124671,12149,47499,112522,26070,144588,14337,62119,3427612,9.91576064403685,9.744848441096968,42.213078331348534,54.88536600770543,22.582281992874247,429,294,135,15,414,3762,407,335,72,0,108,290,96,235,12,55,0,0,40,32,8,391,123,268
MI-508,2015,275450,62111,124694,11648,48232,113046,25686,144529,12493,61424,3431083,8.643939970524947,9.341267422650649,42.665817454841395,53.255100348316475,22.548919949174078,418,293,125,53,365,3353,413,340,73,0,112,294,99,237,13,57,0,0,214,175,39,460,154,306
MI-508,2016,272140,61563,123479,11172,48328,112307,25326,144187,12401,62225,3404489,8.600636673209097,9.047692320151604,43.03204608795534,52.404403244495946,22.621812302491364,471,303,168,116,355,2946,383,304,79,0,107,267,97,203,10,64,0,0,205,168,37,429,130,299
MI-508,2017,273115,58229,123785,11228,48038,112557,23873,144755,11271,63223,3606963,7.786259541984733,9.07056590055338,42.67882050872003,49.69607394146301,21.32032294088571,435,271,164,45,390,2541,342,283,59,0,119,214,109,170,10,44,0,0,130,100,30,552,192,360
MI-508,2018,272016,56212,122714,11372,48147,111342,23776,144362,9882,63535,3683311,6.845291697261052,9.267076291213716,43.24244220509781,49.382100650092426,20.664960884653844,419,294,125,39,380,2142,389,322,58,9,131,249,109,209,22,31,0,9,145,125,20,595,207,388
MI-508,2019,277325,54978,124982,11170,48215,113812,23317,148264,9529,65435,3916328,6.427049047644743,8.937286969323582,42.363722630302604,48.36046873379654,19.824393761831786,476,303,173,10,466,1743,544,473,62,9,184,351,158,311,26,31,0,9,161,119,42,481,124,357
MI-508,2020,276832,50902,125058,10707,47655,114351,22657,149688,9588,70649,4406796,6.405323071989738,8.561627404884135,41.674318545530866,47.54380442765712,18.387325164720842,512,328,184,30,482,1348,583,522,52,9,202,372,179,339,23,24,0,9,149,128,21,472,113,359
MI-508,2021,268672,47843,124442,10552,48531,113890,23321,144359,9157,71963,4436670,6.34321379339009,8.4794522749554,42.61216963736939,48.05382126887969,17.807214745116724,372,256,116,14,358,956,393,335,40,18,120,264,101,230,19,16,0,18,146,96,50,455,108,347
MI-508,2022,266020,44768,124546,10088,48218,114458,23643,143641,8942,76978,4784785,6.225242096615869,8.099818540940698,42.12724318090479,49.03355593346883,16.828809863920004,515,323,192,28,487,567,619,558,43,18,214,396,195,359,19,19,0,18,196,125,71,433,92,341
MI-508,2023,266020,44768,124546,10088,48218,114458,23643,143641,8942,76978,4784785,6.225242096615869,8.099818540940698,42.12724318090479,49.03355593346883,16.828809863920004,685,382,303,62,623,180,536,478,40,18,205,322,180,294,25,10,0,18,118,83,35,466,114,352
MI-509,2007,303336,43017,137525,12730,48738,124795,26070,167368,14387,82186,5157929,8.596027914535634,9.256498818396656,39.054449296846826,53.49008986827527,14.18130390062505,413,285,128,56,357,6818,NA,186,100,NA,NA,NA,119,67,74,26,NA,NA,NA,NA,NA,170,65,105
MI-509,2008,303336,43017,137525,12730,48738,124795,26070,167368,14387,82186,5157929,8.596027914535634,9.256498818396656,39.054449296846826,53.49008986827527,14.18130390062505,413,285,128,56,357,6366,NA,183,106,NA,NA,NA,114,69,65,41,NA,NA,NA,NA,NA,301,159,142
MI-509,2009,303336,43017,137525,12730,48738,124795,26070,167368,14387,82186,5157929,8.596027914535634,9.256498818396656,39.054449296846826,53.49008986827527,14.18130390062505,342,210,132,35,307,5916,NA,183,123,NA,NA,NA,114,69,65,58,NA,NA,NA,NA,NA,535,242,293
MI-509,2010,303336,43017,137525,12730,48738,124795,26070,167368,14387,82186,5157929,8.596027914535634,9.256498818396656,39.054449296846826,53.49008986827527,14.18130390062505,474,306,168,35,439,5470,NA,208,250,NA,NA,NA,114,94,132,118,NA,NA,NA,NA,NA,504,210,294
MI-509,2011,311531,44655,138334,12990,48902,125344,25745,170397,14897,88513,5442243,8.742524809709092,9.39031619124727,39.0142328312484,52.646108543617856,14.334047012977841,469,304,165,43,426,5032,NA,197,231,NA,NA,NA,108,89,143,88,NA,NA,NA,NA,NA,704,317,387
MI-509,2012,308695,46554,136711,12104,50864,124607,26941,169563,15354,84126,5083347,9.055041489004086,8.853713307634353,40.81953662314316,52.96673482227116,15.080905100503733,381,216,165,43,338,4602,NA,197,165,NA,NA,NA,108,89,103,62,NA,NA,NA,NA,NA,305,93,212
MI-509,2013,312444,48713,137575,11724,52401,125851,27272,172096,15855,87070,5210092,9.21288118259576,8.521897147010721,41.63733303668624,52.04480830518502,15.59095389893869,510,359,151,166,344,4181,NA,198,152,NA,NA,NA,104,88,90,62,NA,NA,6,6,0,306,89,217
MI-509,2014,318131,48972,138516,11170,52135,127346,26292,174653,14800,88595,5383658,8.473945480466984,8.064050362413006,40.93964474738115,50.43061283207059,15.393658587185783,545,421,124,166,379,3763,336,196,140,0,177,154,103,88,74,66,0,0,18,18,0,380,116,264
MI-509,2015,322757,49941,139891,10633,52788,129258,26792,176308,13010,96079,5642900,7.37913197359167,7.600917857474748,40.83925172909994,50.75395923315905,15.473250773801963,372,309,63,80,292,3354,264,195,69,0,112,147,102,88,10,59,0,0,41,36,5,410,123,287
MI-509,2016,337084,49703,142479,10492,53368,131987,26744,182436,11418,101804,6033220,6.258633164507005,7.363892222713522,40.434285194754025,50.112426922500376,14.744989379501844,342,263,79,41,301,2947,265,195,70,0,109,151,99,91,10,60,0,0,295,278,17,885,353,532
MI-509,2017,327318,47331,138204,10358,51828,127846,25091,177733,9795,99600,5895387,5.5110756021672955,7.494717953170675,40.53939896437902,48.41205525970518,14.460249665462943,302,242,60,40,262,2542,227,167,60,0,109,113,99,63,10,50,0,0,270,259,11,843,283,560
MI-509,2018,326842,46866,136731,9684,52129,127047,25068,178039,8534,104187,6179780,4.7933317980891825,7.082519691949887,41.031271891504716,48.088396094304514,14.339038434472926,282,210,72,27,255,2143,235,175,60,0,114,116,104,66,10,50,0,0,256,239,17,869,242,627
MI-509,2019,329118,46969,138763,9333,52962,129430,24902,179048,7345,107275,6528962,4.102251910102319,6.725856316164972,40.91941590048675,47.0186171217099,14.271173257008124,273,193,80,12,261,1744,228,178,50,0,105,118,105,68,0,50,0,0,266,223,43,1021,299,722
MI-509,2020,317862,45702,135170,8159,52637,127011,25279,173460,8080,111841,6682181,4.658134440216765,6.03610268550714,41.442867153238694,48.02515340919885,14.377937595560336,274,193,81,17,257,1349,287,247,40,0,110,172,103,139,7,33,0,0,264,248,16,623,123,500
MI-509,2021,305362,42697,133546,7625,52767,125921,26367,168010,7707,111430,6741925,4.587226950776739,5.709643119224837,41.90484510129367,49.96873045653533,13.982420864416659,269,196,73,20,249,957,261,216,45,0,100,156,96,115,4,41,0,0,287,233,54,627,117,510
MI-509,2022,328320,46704,144302,8157,56160,136145,28105,179305,8697,126772,7715593,4.850394579069183,5.6527283059139855,41.25013772081237,50.04451566951567,14.22514619883041,211,155,56,6,205,568,231,195,36,0,100,126,95,95,5,31,0,0,179,141,38,589,130,458
MI-509,2023,328320,46704,144302,8157,56160,136145,28105,179305,8697,126772,7715593,4.850394579069183,5.6527283059139855,41.25013772081237,50.04451566951567,14.22514619883041,266,207,59,16,250,181,216,173,43,0,83,127,78,89,5,38,0,0,224,224,0,613,131,482
MI-510,2007,199306,36177,86041,10528,19047,75513,10205,91435,11906,37468,2335089,13.021271941816593,12.236027010378773,25.223471455246116,53.57799128471675,18.151485655223627,361,237,124,87,274,6819,NA,159,211,NA,NA,NA,50,109,85,126,NA,NA,NA,NA,NA,124,30,94
MI-510,2008,199306,36177,86041,10528,19047,75513,10205,91435,11906,37468,2335089,13.021271941816593,12.236027010378773,25.223471455246116,53.57799128471675,18.151485655223627,361,237,124,87,274,6367,NA,150,225,NA,NA,NA,55,95,89,136,NA,NA,NA,NA,NA,160,34,126
MI-510,2009,199306,36177,86041,10528,19047,75513,10205,91435,11906,37468,2335089,13.021271941816593,12.236027010378773,25.223471455246116,53.57799128471675,18.151485655223627,305,176,129,27,278,5917,NA,151,232,NA,NA,NA,57,94,89,143,NA,NA,NA,NA,NA,172,53,119
MI-510,2010,199306,36177,86041,10528,19047,75513,10205,91435,11906,37468,2335089,13.021271941816593,12.236027010378773,25.223471455246116,53.57799128471675,18.151485655223627,305,176,129,27,278,5471,NA,151,232,NA,NA,NA,57,94,89,143,NA,NA,NA,NA,NA,172,53,119
